,name,latitud,longitud,geometry
0,Starbucks,40.426066801136066,-3.6756167469058876,POINT (-3.675616746905888 40.42606680113607)
1,Starbucks,40.43296760669224,-3.6832201480865474,POINT (-3.683220148086547 40.43296760669224)
2,Starbucks,40.4335639178076,-3.6868293595360973,POINT (-3.686829359536097 40.4335639178076)
3,Starbucks,40.424974636524,-3.684107212216363,POINT (-3.684107212216363 40.424974636524)
4,Starbucks,40.425760357264515,-3.691781759262085,POINT (-3.691781759262085 40.42576035726452)
5,Starbucks,40.4394314443529,-3.6826531171468173,POINT (-3.682653117146817 40.4394314443529)
6,Starbucks,40.420450975922165,-3.6796733064135796,POINT (-3.67967330641358 40.42045097592217)
7,Starbucks,40.42075183549848,-3.6993145297210788,POINT (-3.699314529721079 40.42075183549848)
8,Starbucks,40.418038185194774,-3.699371513099982,POINT (-3.699371513099982 40.41803818519477)
9,Starbucks,40.42014039388448,-3.702886033408268,POINT (-3.702886033408268 40.42014039388448)
10,Starbucks,40.41532327347708,-3.6949486687744146,POINT (-3.694948668774415 40.41532327347708)
11,Starbucks,40.44748872381242,-3.6930934929855574,POINT (-3.693093492985557 40.44748872381242)
12,Starbucks,40.423112989750564,-3.700798408458431,POINT (-3.700798408458431 40.42311298975056)
13,Starbucks,40.440273,-3.682125,POINT (-3.682125 40.440273)
14,Starbucks,40.419667845686355,-3.7061354223688325,POINT (-3.706135422368833 40.41966784568636)
15,Starbucks,40.433353,-3.703958,POINT (-3.703958 40.433353)
16,Starbucks,40.44677599194058,-3.6918291111629657,POINT (-3.691829111162966 40.44677599194058)
17,Starbucks,40.44772869759542,-3.6951754717412046,POINT (-3.695175471741205 40.44772869759542)
18,Starbucks,40.41719516711848,-3.706118548830636,POINT (-3.706118548830636 40.41719516711848)
19,Starbucks,40.40885214578761,-3.693236539287397,POINT (-3.693236539287397 40.40885214578761)
20,Starbucks,40.423319643246955,-3.710882844657412,POINT (-3.710882844657412 40.42331964324696)
21,Starbucks,40.417539,-3.702775,POINT (-3.702775 40.417539)
22,Starbucks,40.421751918201934,-3.7083782102926905,POINT (-3.708378210292691 40.42175191820193)
23,Starbucks,40.42906874005007,-3.7150786671568476,POINT (-3.715078667156848 40.42906874005007)
24,Starbucks,40.418054,-3.710009,POINT (-3.710009 40.418054)
25,Starbucks,40.41748942152583,-3.70466514037747,POINT (-3.70466514037747 40.41748942152583)
26,Starbucks Palace,40.414995,-3.695058,POINT (-3.695058 40.414995)
27,Starbucks,40.421095,-3.70256,POINT (-3.70256 40.421095)
28,Starbucks,40.418106483857194,-3.709606077515513,POINT (-3.709606077515513 40.41810648385719)
29,Starbucks,40.45957,-3.6943874,POINT (-3.6943874 40.45957)
30,Starbucks,40.403120577140534,-3.687687685586035,POINT (-3.687687685586035 40.40312057714053)
31,Starbucks ECI Preciados,40.4174674,-3.7043957,POINT (-3.7043957 40.4174674)
32,Starbucks,40.421949993513195,-3.7203776278003375,POINT (-3.720377627800338 40.42194999351319)
33,Starbucks,40.41573297582015,-3.708717822655616,POINT (-3.708717822655616 40.41573297582015)
34,Starbucks,40.39469,-3.676454,POINT (-3.676454 40.39469)
35,Starbucks,40.39130385405477,-3.701122858987979,POINT (-3.701122858987979 40.39130385405477)
36,Starbucks,40.47592318265012,-3.6866703618636074,POINT (-3.686670361863607 40.47592318265012)
37,Starbucks,40.46282268242124,-3.636758032267253,POINT (-3.636758032267253 40.46282268242124)
38,Starbucks,40.47963598026618,-3.707357285899872,POINT (-3.707357285899872 40.47963598026618)
39,Starbucks,40.49768721643861,-3.660368141302403,POINT (-3.660368141302403 40.49768721643861)
40,Starbucks,40.44638591027995,-3.587592789104539,POINT (-3.587592789104539 40.44638591027995)
41,Starbucks,40.455039,-3.583356,POINT (-3.583356 40.455039)
42,Starbucks,40.36350271226119,-3.7365511407333716,POINT (-3.736551140733372 40.36350271226119)
43,Starbucks,40.43816816158585,-3.793838131943415,POINT (-3.793838131943415 40.43816816158585)
44,Starbucks,40.36878210729123,-3.5969286239354488,POINT (-3.596928623935449 40.36878210729123)
45,Starbucks,40.49024076241017,-3.5910167013925776,POINT (-3.591016701392578 40.49024076241017)
